id,Speciality,Vacancy,Date,Date (Квартал),AvgSalary,salary_to,salary_from,salary_currency,employer_name,Year,area_name,Country
52,Аналитик,CRM Data Scientist / CRM Data Analyst,20/03/20,1,"","","","",Dentsu Aegis Network Russia,2020,Москва,Russian Federation
53,Аналитик,Cистемный аналитик (System Analyst) Jira,18/04/21,2,"","","","",Media Instinct Group,2021,Москва,Russian Federation
54,Аналитик,Data Analyst,01/09/20,3,"","","","",Mediascope,2020,Москва,Russian Federation
55,Аналитик,Data Analyst,04/11/20,4,"","","","",Cloud Linux,2020,Минск,Belarus
56,Аналитик,Data Analyst,25/08/20,3,"","","","",Ozon,2020,Москва,Russian Federation
57,Аналитик,Data Analyst,11/08/20,3,"","","","",Студия Кефир,2020,Москва,Russian Federation
58,Аналитик,Data Analyst,08/09/20,3,"","","","",Vigrom Corp.,2020,Москва,Russian Federation
59,Аналитик,Data Analyst,26/08/20,3,"","","","",Сбербанк,2020,Москва,Russian Federation
60,Аналитик,Data Analyst,19/08/20,3,"","","","",AIC,2020,Москва,Russian Federation
61,Аналитик,Data Analyst,29/08/20,3,"","","","",Студия Кефир,2020,Москва,Russian Federation
62,Аналитик,Data Analyst,28/12/20,4,3000,3000,"",USD,UniSender,2020,Москва,Russian Federation
63,Аналитик,Data analyst,09/01/21,1,"","","","",Химтех,2021,Санкт-Петербург,Russian Federation
64,Аналитик,Data Analyst,09/09/20,3,"","","","",Сбербанк,2020,Москва,Russian Federation
65,Аналитик,Data Analyst,20/08/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
66,Аналитик,Data Analyst,23/02/21,1,85000,100000,70000,RUR,МАГ Девелопмент,2021,Москва,Russian Federation
67,Аналитик,Data Analyst,23/12/20,4,"","","","",Railsware,2020,Москва,Russian Federation
68,Аналитик,Data Analyst,23/02/21,1,85000,100000,70000,RUR,МАГ Девелопмент,2021,Новосибирск,Russian Federation
69,Аналитик,Data analyst,18/03/21,1,"","","","",МТС,2021,Москва,Russian Federation
70,Аналитик,Data Analyst,24/12/20,4,"","","","",Lavin Media Inc.,2020,Киев,Ukraine
71,Аналитик,Data Analyst,10/03/21,1,"","","","",Циан,2021,Москва,Russian Federation
72,Аналитик,Data Analyst,14/05/21,2,85000,100000,70000,RUR,МАГ Девелопмент,2021,Москва,Russian Federation
73,Аналитик,Data Analyst,17/03/21,1,150000,"",150000,RUR,Dostavista Global,2021,Москва,Russian Federation
74,Аналитик,Data analyst,28/07/21,3,180000,"",180000,RUR,IT and Digital,2021,Санкт-Петербург,Russian Federation
75,Аналитик,Data Analyst,13/06/21,2,85000,100000,70000,RUR,МАГ Девелопмент,2021,Москва,Russian Federation
76,Аналитик,Data Analyst,14/05/21,2,85000,100000,70000,RUR,МАГ Девелопмент,2021,Новосибирск,Russian Federation
77,Аналитик,Data Analyst,30/11/21,4,220000,"",220000,RUR,Novakid Inc,2021,Санкт-Петербург,Russian Federation
78,Аналитик,Data Analyst,09/11/21,4,300000,300000,"",RUR,4CV Recruitment Services,2021,Санкт-Петербург,Russian Federation
79,Аналитик,Data Analyst,23/07/21,3,200000,"",200000,RUR,Новакид РУС,2021,Санкт-Петербург,Russian Federation
80,Аналитик,Data Analyst,04/08/21,3,200000,"",200000,RUR,Новакид РУС,2021,Минск,Belarus
81,Аналитик,Data analyst,17/06/21,2,180000,"",180000,RUR,IT and Digital,2021,Москва,Russian Federation
82,Аналитик,Data analyst,07/08/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
83,Аналитик,Data Analyst,22/06/21,2,35000,50000,20000,RUR,MacBuildServer,2021,Самара,Russian Federation
84,Аналитик,Data Analyst,05/07/21,3,2000,2500,1500,USD,Lavin Media Inc.,2021,Киев,Ukraine
85,Аналитик,Data Analyst,21/06/21,2,"","","","",Playgendary,2021,Москва,Russian Federation
86,Аналитик,Data Analyst,24/11/21,4,2000,2500,1500,USD,Lavin Media Inc.,2021,Харьков,Ukraine
87,Аналитик,Data Analyst,09/11/21,4,300000,300000,"",RUR,4CV Recruitment Services,2021,Москва,Russian Federation
88,Аналитик,Data Analyst,14/07/21,3,"","","","",Плейджендари Девелопмент,2021,Минск,Belarus
89,Аналитик,Data Analyst,06/10/21,4,200000,"",200000,RUR,Novakid Inc,2021,Санкт-Петербург,Russian Federation
90,Аналитик,Data Analyst,19/10/21,4,"","","","",Самокат (ООО Умный ритейл),2021,Санкт-Петербург,Russian Federation
91,Аналитик,Data Analyst,25/08/21,3,"","","","",ЕОН ГЕЙМС,2021,Минск,Belarus
92,Аналитик,Data Analyst,06/10/21,4,200000,"",200000,RUR,Novakid Inc,2021,Москва,Russian Federation
93,Аналитик,Data Analyst,22/08/21,3,125000,150000,100000,RUR,МАГ Девелопмент,2021,Москва,Russian Federation
94,Аналитик,Data Analyst,17/11/21,4,200000,"",200000,RUR,Novakid Inc,2021,Москва,Russian Federation
95,Аналитик,Data Analyst,08/10/21,4,"","","","",Selecty,2021,Москва,Russian Federation
96,Аналитик,Data Analyst,30/11/21,4,220000,"",220000,RUR,Novakid Inc,2021,Москва,Russian Federation
97,Аналитик,Data Analyst,15/09/21,3,3200,4000,2400,USD,Novapulsar,2021,Москва,Russian Federation
98,Аналитик,Data Analyst,13/10/21,4,"","","","",Инспекторио Бел,2021,Минск,Belarus
99,Аналитик,Data Analyst,29/11/21,4,"","","","",Kyivstar,2021,Киев,Ukraine
100,Аналитик,Data Analyst,17/11/21,4,200000,"",200000,RUR,Novakid Inc,2021,Санкт-Петербург,Russian Federation
101,Аналитик,Data Analyst,23/11/21,4,"","","","",Хайпмастерс,2021,Москва,Russian Federation
102,Аналитик,Data Analyst,29/11/21,4,"","","","",РБ Текнолоджи,2021,Москва,Russian Federation
103,Аналитик,Data Analyst,29/11/21,4,"","","","",РБ Текнолоджи,2021,Санкт-Петербург,Russian Federation
104,Аналитик,Data Analyst,29/04/20,2,"","","","",БЕТРИНГ,2020,Москва,Russian Federation
105,Аналитик,Data Analyst,18/03/20,1,"","","","",Леруа Мерлен,2020,Москва,Russian Federation
106,Аналитик,Data Analyst,12/03/20,1,"","","","",Coleman Services,2020,Москва,Russian Federation
107,Аналитик,Data Analyst,23/03/20,1,"","","","",Qlean,2020,Москва,Russian Federation
108,Аналитик,Data Analyst,19/03/20,1,120000,"",120000,RUR,Bookmate,2020,Москва,Russian Federation
109,Аналитик,Data analyst,26/03/20,1,"","","","",МегаФон,2020,Москва,Russian Federation
110,Аналитик,Data Analyst,30/03/20,1,"","","","",Vigrom Corp.,2020,Санкт-Петербург,Russian Federation
111,Аналитик,Data Analyst,02/04/20,2,"","","","",Talents In Games,2020,Москва,Russian Federation
112,Аналитик,Data Analyst,15/06/20,2,"","","","",Перекресток,2020,Москва,Russian Federation
113,Аналитик,Data Analyst,07/05/20,2,"","","","",Перфект Арт,2020,Москва,Russian Federation
114,Аналитик,Data Analyst,15/05/20,2,"","","","",Vigrom Corp.,2020,Санкт-Петербург,Russian Federation
115,Аналитик,Data Analyst,07/05/20,2,"","","","",Перфект Арт,2020,Санкт-Петербург,Russian Federation
116,Аналитик,Data Analyst,14/04/20,2,"","","","",МТС,2020,Москва,Russian Federation
117,Аналитик,Data Analyst,20/04/20,2,"","","","",OZON.ru,2020,Москва,Russian Federation
118,Аналитик,Data Analyst,02/06/20,2,"","","","",Grid Dynamics,2020,Санкт-Петербург,Russian Federation
119,Аналитик,Data Analyst,23/04/20,2,"","","","",Леруа Мерлен,2020,Москва,Russian Federation
120,Аналитик,Data Analyst,14/05/20,2,"","","","",Vigrom Corp.,2020,Москва,Russian Federation
121,Аналитик,Data Analyst,15/05/20,2,"","","","",МТС,2020,Москва,Russian Federation
122,Аналитик,Data analyst,08/05/20,2,"","","","",Самокат (ООО Умное пространство),2020,Санкт-Петербург,Russian Federation
123,Аналитик,Data Analyst,18/05/20,2,"","","","",Банк Открытие,2020,Москва,Russian Federation
124,Аналитик,Data Analyst,21/05/20,2,"","","","",Ozon,2020,Москва,Russian Federation
125,Аналитик,Data Analyst,16/06/20,2,"","","","",START.RU,2020,Москва,Russian Federation
126,Аналитик,Data Analyst,19/06/20,2,"","","","",Перфект Арт,2020,Москва,Russian Federation
127,Аналитик,Data Analyst,19/06/20,2,"","","","",Перфект Арт,2020,Санкт-Петербург,Russian Federation
128,Аналитик,Data Analyst,23/06/20,2,"","","","",Ozon,2020,Москва,Russian Federation
129,Аналитик,Data Analyst,11/09/20,3,"","","","",OMD OM Group,2020,Москва,Russian Federation
130,Аналитик,Data Analyst,02/07/20,3,"","","","",Vigrom Corp.,2020,Москва,Russian Federation
131,Аналитик,Data Analyst,07/08/20,3,"","","","",Air Liquide,2020,Москва,Russian Federation
132,Аналитик,Data Analyst,02/07/20,3,"","","","",Сбербанк,2020,Санкт-Петербург,Russian Federation
133,Аналитик,Data analyst,07/09/20,3,"","","","",РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,2020,Москва,Russian Federation
134,Аналитик,Data Analyst,14/08/20,3,"","","","",Каршеринг Руссия,2020,Москва,Russian Federation
135,Аналитик,Data Analyst (AppCalls),07/09/20,3,"","","","",Авито,2020,Москва,Russian Federation
136,Аналитик,Data Analyst (AppCalls),03/08/20,3,"","","","",Авито,2020,Москва,Russian Federation
137,Аналитик,Data analyst (Big data team),27/08/21,3,"","","","",Яндекс,2021,Москва,Russian Federation
138,Аналитик,Data Analyst (Big Data),31/08/20,3,"","","","",МТС,2020,Москва,Russian Federation
139,Аналитик,Data Analyst (Big Data),13/04/20,2,"","","","",МТС,2020,Москва,Russian Federation
140,Аналитик,Data Analyst (Big Data),14/05/20,2,"","","","",МТС,2020,Москва,Russian Federation
141,Аналитик,Data Analyst (Data Scientist),27/04/20,2,"","","","",АЙКЬЮВИА СОЛЮШНС,2020,Москва,Russian Federation
142,Аналитик,Data Analyst (Data Scientist),16/07/20,3,"","","","",АЙКЬЮВИА СОЛЮШНС,2020,Москва,Russian Federation
143,Аналитик,Data Analyst (Fares),26/04/20,2,"","","","",Ситимобил,2020,Москва,Russian Federation
144,Аналитик,Data Analyst (Game),01/12/21,4,"","","","",Nakusi Games,2021,Москва,Russian Federation
145,Аналитик,Data Analyst (junior),30/11/21,4,"","","","",Циан,2021,Москва,Russian Federation
146,Аналитик,Data analyst (junior)/ Аналитик данных,15/09/21,3,"","","","",Автоматизация и Консалтинг,2021,Москва,Russian Federation
147,Аналитик,Data Analyst (Marketing),17/08/21,3,"","","","",Nexters,2021,Минск,Belarus
148,Аналитик,Data Analyst (Marketing),07/07/21,3,"","","","",Nexters,2021,Москва,Russian Federation
149,Аналитик,Data Analyst (Marketing),23/11/21,4,"","","","",Хайкор Геймз,2021,Минск,Belarus
150,Аналитик,Data Analyst (Marketing),22/09/21,3,"","","","",Хайкор Геймз,2021,Минск,Belarus
151,Аналитик,Data analyst (middle)/ Ведущий аналитик данных,15/09/21,3,"","","","",Автоматизация и Консалтинг,2021,Москва,Russian Federation
152,Аналитик,Data Analyst (Middle/Senior),20/07/20,3,"","","","",NX Studio,2020,Москва,Russian Federation
153,Аналитик,Data Analyst (Mobile),23/03/20,1,"","","","",Skyeng,2020,Москва,Russian Federation
154,Аналитик,Data Analyst (Monetization),23/03/20,1,"","","","",Skyeng,2020,Москва,Russian Federation
155,Аналитик,Data Analyst (Personalization) / Старший аналитик больших данных,22/03/20,1,"","","","",Спортмастер,2020,Москва,Russian Federation
156,Аналитик,Data Analyst (Planning),13/03/20,1,"","","","",Сбербанк,2020,Санкт-Петербург,Russian Federation
157,Аналитик,Data Analyst (Python),25/08/20,3,"","","","",Альфа-Банк,2020,Москва,Russian Federation
158,Аналитик,Data analyst (Python),31/03/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
159,Аналитик,Data analyst (Python\R),18/12/20,4,"","","","",буше,2020,Санкт-Петербург,Russian Federation
160,Аналитик,Data Analyst (Sales),23/03/20,1,"","","","",Skyeng,2020,Москва,Russian Federation
161,Аналитик,Data analyst (Teachers),30/07/20,3,150000,150000,"",RUR,Skyeng,2020,Москва,Russian Federation
162,Аналитик,Data Analyst (Аналитик данных),05/03/21,1,"","","","",Luxoft,2021,Москва,Russian Federation
163,Аналитик,Data analyst (Аналитик данных),20/05/20,2,"","","","",Сбербанк,2020,Москва,Russian Federation
164,Аналитик,Data Analyst (Аналитик данных),25/05/20,2,"","","","",MANGO OFFICE,2020,Москва,Russian Federation
165,Аналитик,Data analyst (ДКК 360),25/12/20,4,"","","","",Сбербанк,2020,Москва,Russian Federation
166,Аналитик,Data Analyst (Игровой аналитик),01/02/21,1,"","","","",Комплектэнерго,2021,Москва,Russian Federation
167,Аналитик,Data Analyst ('Корпоративные клиенты 360'),25/02/21,1,"","","","",Сбербанк,2021,Москва,Russian Federation
168,Аналитик,Data Analyst ('Корпоративные клиенты 360'),25/12/20,4,"","","","",Сбербанк,2020,Москва,Russian Federation
169,Аналитик,Data Analyst (проект Миграция Терадаты),08/07/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
170,Аналитик,Data analyst (управление Благосостоянием),27/04/20,2,"","","","",Сбербанк,2020,Москва,Russian Federation
171,Аналитик,Data analyst (управление Благосостоянием),10/07/20,3,"","","","",Сбербанк,2020,Москва,Russian Federation
172,Аналитик,Data analyst / data engineer,29/11/21,4,"","","","",Сбербанк,2021,Москва,Russian Federation
173,Аналитик,Data Analyst / Data Engineer / BI specialist,03/08/20,3,"","","","",Decathlon,2020,Москва,Russian Federation
174,Аналитик,Data Analyst / Data Scientist,12/05/21,2,"","","","",АльфаСтрахование,2021,Москва,Russian Federation
175,Аналитик,Data Analyst / Data Scientist,23/11/21,4,135000,200000,70000,RUR,Национальное Бюро Информатизации,2021,Москва,Russian Federation
176,Аналитик,Data analyst / Data scientist,03/09/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
177,Аналитик,Data analyst / Data scientist,18/08/21,3,"","","","",Сбербанк,2021,Москва,Russian Federation
178,Аналитик,Data Analyst / Data Scientist,20/07/20,3,"","","","",Э-КОМ,2020,Москва,Russian Federation
179,Аналитик,Data Analyst / Data Scientist (remote),20/01/21,1,"","","","",Add Talent Solutions,2021,Москва,Russian Federation
180,Аналитик,Data Analyst / Engineer (ETL),07/04/20,2,"","","","",AWG,2020,Москва,Russian Federation
181,Аналитик,Data Analyst / Junior Data Analyst,02/07/20,3,"","","","",Ozon,2020,Москва,Russian Federation
182,Аналитик,Data analyst / ML engineer (Аналитик данных),30/08/20,3,"","","","",Social Quantum,2020,Санкт-Петербург,Russian Federation
183,Аналитик,Data analyst / ML engineer (Аналитик данных),30/08/20,3,"","","","",Social Quantum,2020,Москва,Russian Federation
184,Аналитик,Data analyst / ML engineer (Аналитик данных),08/10/21,4,"","","","",Social Quantum,2021,Москва,Russian Federation
185,Аналитик,Data analyst / ML engineer (Аналитик данных),28/04/20,2,"","","","",Social Quantum,2020,Москва,Russian Federation
186,Аналитик,Data analyst / ML engineer (Аналитик данных),28/04/20,2,"","","","",Social Quantum,2020,Санкт-Петербург,Russian Federation
187,Аналитик,Data analyst / ML engineer (Аналитик данных),29/05/20,2,"","","","",Social Quantum,2020,Санкт-Петербург,Russian Federation
188,Аналитик,Data analyst / ML engineer (Аналитик данных),29/05/20,2,"","","","",Social Quantum,2020,Москва,Russian Federation
189,Аналитик,Data analyst / ML engineer (Аналитик данных),30/07/20,3,"","","","",Social Quantum,2020,Санкт-Петербург,Russian Federation
190,Аналитик,Data analyst / ML engineer (Аналитик данных),30/07/20,3,"","","","",Social Quantum,2020,Москва,Russian Federation
191,Аналитик,Data Analyst / Аналитик базы данных,19/11/21,4,7500000,10000000,5000000,UZS,ЧП Xplorence,2021,Ташкент,Uzbekistan
